id,usuario_id,tipo_activo,descripcion,monto
1,52977,ahorro,Activos financieros,2988.57
2,52977,ahorro,Activos financieros,2988.57
3,43639,ahorro,Activos financieros,22709.47
4,49905,inversiones,Activos financieros,222459.66
5,52628,ahorro,Activos financieros,59254.00
6,43041,ahorro,Activos financieros,9822.68
7,49185,inversiones,Activos financieros,181003.60
8,46897,ahorro,Activos financieros,71743.95
9,50164,inversiones,Activos financieros,126436.43
10,44412,inversiones,Activos financieros,84179.02
11,45801,ahorro,Activos financieros,69964.87
12,48478,plan de jubilación,Activos financieros,43092.48
13,45646,ahorro,Activos financieros,9728.21
14,47542,plan de jubilación,Activos financieros,212636.12
15,47147,plan de jubilación,Activos financieros,202746.43
16,43924,plan de jubilación,Activos financieros,136375.88
17,43845,ahorro,Activos financieros,55428.04
18,48625,inversiones,Activos financieros,265750.07
19,51003,inversiones,Activos financieros,58494.29
20,48409,ahorro,Activos financieros,66295.70
21,51408,ahorro,Activos financieros,85604.11
22,45676,plan de jubilación,Activos financieros,73103.53
23,53598,plan de jubilación,Activos financieros,44850.25
24,52587,ahorro,Activos financieros,67182.43
25,44987,inversiones,Activos financieros,194762.58
26,44366,inversiones,Activos financieros,52170.46
27,52201,ahorro,Activos financieros,16758.55
28,50343,plan de jubilación,Activos financieros,247433.22
29,54201,inversiones,Activos financieros,167527.97
30,48243,plan de jubilación,Activos financieros,211498.72
31,48537,ahorro,Activos financieros,82269.36
32,49923,plan de jubilación,Activos financieros,70596.51
33,51299,inversiones,Activos financieros,263033.92
34,46233,ahorro,Activos financieros,65716.15
35,52021,inversiones,Activos financieros,138196.70
36,47915,ahorro,Activos financieros,25039.44
37,51470,inversiones,Activos financieros,79559.74
38,43707,plan de jubilación,Activos financieros,224966.61
39,43999,plan de jubilación,Activos financieros,58733.59
40,44054,inversiones,Activos financieros,148561.23
41,44903,ahorro,Activos financieros,15707.71
42,51788,inversiones,Activos financieros,127225.83
43,53900,plan de jubilación,Activos financieros,98496.73
44,49836,inversiones,Activos financieros,76172.82
45,48447,ahorro,Activos financieros,68188.20
46,42704,inversiones,Activos financieros,265551.75
47,49520,inversiones,Activos financieros,102712.47
48,49472,plan de jubilación,Activos financieros,43748.65
49,51271,inversiones,Activos financieros,262880.03
50,51466,inversiones,Activos financieros,228826.70
51,47862,ahorro,Activos financieros,87116.60
52,44711,inversiones,Activos financieros,152791.20
53,53781,ahorro,Activos financieros,37704.43
54,51781,inversiones,Activos financieros,286096.42
55,45645,ahorro,Activos financieros,60094.99
56,46776,ahorro,Activos financieros,11630.84
57,50125,plan de jubilación,Activos financieros,63665.82
58,51360,inversiones,Activos financieros,284137.88
59,44855,inversiones,Activos financieros,146311.15
60,46367,inversiones,Activos financieros,229984.49
61,44869,inversiones,Activos financieros,143109.43
62,46788,ahorro,Activos financieros,26873.13
63,51713,plan de jubilación,Activos financieros,241268.91
64,47150,inversiones,Activos financieros,207270.42
65,53870,plan de jubilación,Activos financieros,102753.11
66,54542,inversiones,Activos financieros,112652.73
67,44487,plan de jubilación,Activos financieros,34646.03
68,48216,ahorro,Activos financieros,34139.51
69,44702,inversiones,Activos financieros,69804.31
70,52870,ahorro,Activos financieros,7563.81
71,43086,ahorro,Activos financieros,23279.71
72,53622,plan de jubilación,Activos financieros,22360.05
73,52807,plan de jubilación,Activos financieros,168899.56
74,53157,inversiones,Activos financieros,40561.24
75,43847,inversiones,Activos financieros,142328.64
76,43623,plan de jubilación,Activos financieros,51650.43
77,45500,inversiones,Activos financieros,129884.30
78,47172,plan de jubilación,Activos financieros,119421.04
79,53236,ahorro,Activos financieros,67499.77
80,45545,ahorro,Activos financieros,6530.96
81,42929,plan de jubilación,Activos financieros,201145.17
82,47775,ahorro,Activos financieros,19563.21
83,48175,plan de jubilación,Activos financieros,39344.66
84,43419,plan de jubilación,Activos financieros,118343.88
85,46170,plan de jubilación,Activos financieros,202965.45
86,50653,ahorro,Activos financieros,5533.54
87,52964,ahorro,Activos financieros,96915.13
88,51576,ahorro,Activos financieros,40938.20
89,46955,ahorro,Activos financieros,86532.71
90,47810,ahorro,Activos financieros,38207.83
91,50835,plan de jubilación,Activos financieros,231996.93
92,44282,plan de jubilación,Activos financieros,108636.83
93,54634,inversiones,Activos financieros,198899.52
94,46085,ahorro,Activos financieros,19394.84
95,45779,ahorro,Activos financieros,58128.44
96,45102,ahorro,Activos financieros,74923.57
97,47956,ahorro,Activos financieros,58625.67
98,54412,inversiones,Activos financieros,48072.39
99,53255,ahorro,Activos financieros,85208.58
100,53589,inversiones,Activos financieros,21320.30
101,50345,plan de jubilación,Activos financieros,34372.22
102,47387,ahorro,Activos financieros,58102.45
103,51928,inversiones,Activos financieros,25513.04
104,46010,inversiones,Activos financieros,170002.85
105,53985,plan de jubilación,Activos financieros,55043.50
106,48090,plan de jubilación,Activos financieros,63478.06
107,43129,ahorro,Activos financieros,67333.18
108,51344,plan de jubilación,Activos financieros,82463.41
109,47208,ahorro,Activos financieros,46099.41
110,47654,ahorro,Activos financieros,7789.44
111,47613,inversiones,Activos financieros,80294.92
112,43586,ahorro,Activos financieros,87987.39
113,49121,plan de jubilación,Activos financieros,43647.97
114,51531,inversiones,Activos financieros,91452.63
115,47961,inversiones,Activos financieros,3339.11
116,53910,plan de jubilación,Activos financieros,233280.23
117,46898,ahorro,Activos financieros,26814.36
118,53494,inversiones,Activos financieros,166413.87
119,43944,plan de jubilación,Activos financieros,153183.31
120,42681,plan de jubilación,Activos financieros,54881.34
121,47832,plan de jubilación,Activos financieros,128825.22
122,51138,ahorro,Activos financieros,9683.70
