id,usuario_id,monto,fecha_inicio,fecha_fin,estado,tipo
3,43598,30688.34,2021-07-14,2023-07-04,Moroso,Personal
4,51088,38568.26,2020-10-19,2021-10-14,Activo,Estudiantil
5,51349,32247.04,2022-12-05,2023-11-30,Pagado,Personal
6,47016,38042.53,2022-09-02,2026-08-12,Moroso,Estudiantil
7,52754,25469.67,2022-06-27,2023-06-22,Moroso,Automotriz
8,49990,49470.70,2021-10-10,2022-10-05,Activo,Automotriz
9,47310,9454.08,2021-06-17,2025-05-27,Activo,Automotriz
10,47706,10130.97,2025-03-24,2027-03-14,Pagado,Estudiantil
11,43567,34184.09,2021-04-30,2025-04-09,Activo,Hipotecario
12,53768,38248.73,2024-03-05,2028-02-13,Activo,Personal
13,50490,34423.86,2020-11-09,2023-10-25,Moroso,Hipotecario
14,47534,24636.71,2020-11-03,2023-10-19,Pagado,Automotriz
15,49876,6114.90,2021-05-21,2024-05-05,Pagado,Automotriz
16,50540,41150.35,2022-06-13,2025-05-28,Activo,Estudiantil
17,51275,18358.20,2022-07-26,2024-07-15,Activo,Automotriz
18,53174,44934.31,2024-11-20,2026-11-10,Activo,Estudiantil
19,51831,41021.84,2020-10-24,2022-10-14,Moroso,Automotriz
20,46488,17386.58,2025-05-12,2026-05-07,Pagado,Automotriz
21,50943,36062.40,2022-04-12,2022-10-09,Activo,Automotriz
22,45045,36692.36,2025-03-23,2025-09-19,Moroso,Personal
23,46563,9736.82,2024-02-27,2027-02-11,Moroso,Hipotecario
24,50707,4232.71,2022-06-18,2024-06-07,Pagado,Hipotecario
25,52637,12422.84,2024-05-29,2025-05-24,Pagado,Estudiantil
26,45139,17776.24,2022-12-15,2025-11-29,Pagado,Automotriz
27,54601,28482.17,2020-08-23,2023-08-08,Activo,Hipotecario
28,52531,47817.45,2021-12-12,2024-11-26,Activo,Automotriz
29,48097,42195.00,2024-03-08,2027-02-21,Pagado,Estudiantil
30,44958,25798.34,2023-06-26,2024-06-20,Activo,Personal
31,42784,15159.17,2022-12-14,2023-12-09,Pagado,Automotriz
32,52321,41495.43,2021-11-29,2023-11-19,Activo,Hipotecario
33,46999,26033.18,2022-06-02,2024-05-22,Moroso,Personal
34,54601,39362.80,2023-06-14,2027-05-24,Moroso,Estudiantil
35,43223,11446.08,2021-06-16,2023-06-06,Activo,Personal
36,54081,37555.50,2021-05-18,2024-05-02,Moroso,Estudiantil
37,42763,22449.12,2023-10-27,2027-10-06,Activo,Hipotecario
38,44422,45221.56,2021-05-30,2022-05-25,Activo,Estudiantil
39,49795,45599.20,2023-08-23,2026-08-07,Activo,Personal
40,50623,19158.06,2023-07-07,2027-06-16,Activo,Personal
41,48371,9986.95,2022-11-02,2025-10-17,Moroso,Estudiantil
42,53329,31843.61,2020-12-15,2023-11-30,Pagado,Automotriz
43,52499,34334.22,2024-06-30,2027-06-15,Activo,Estudiantil
44,53838,3850.82,2025-02-24,2025-08-23,Activo,Hipotecario
45,44096,8106.58,2021-08-25,2024-08-09,Activo,Personal
46,49903,33296.69,2023-10-23,2024-04-20,Pagado,Automotriz
47,50190,45631.40,2021-04-04,2023-03-25,Moroso,Hipotecario
48,43469,4920.18,2025-04-14,2028-03-29,Activo,Hipotecario
49,49290,2526.40,2023-01-30,2024-01-25,Activo,Hipotecario
50,51038,4234.47,2023-08-31,2025-08-20,Activo,Estudiantil
51,47823,25845.84,2025-07-01,2026-06-26,Activo,Automotriz
52,43452,16364.62,2022-03-23,2024-03-12,Pagado,Estudiantil
53,45894,35996.10,2021-03-07,2023-02-25,Activo,Automotriz
54,50943,43824.53,2020-12-23,2021-12-18,Activo,Estudiantil
55,54121,13414.70,2022-07-12,2025-06-26,Activo,Personal
56,52108,18657.30,2023-01-19,2026-12-29,Pagado,Hipotecario
57,47097,35204.05,2021-04-07,2022-04-02,Pagado,Estudiantil
58,52322,21254.19,2022-07-27,2025-07-11,Activo,Personal
59,51366,11667.93,2021-06-12,2022-06-07,Moroso,Personal
60,50395,7132.02,2023-10-28,2027-10-07,Activo,Estudiantil
61,51060,33501.13,2022-12-14,2023-06-12,Moroso,Estudiantil
62,52308,36800.86,2024-06-11,2028-05-21,Pagado,Estudiantil
63,48056,37123.50,2023-09-10,2024-09-04,Activo,Hipotecario
64,49266,30389.10,2021-12-21,2025-11-30,Moroso,Automotriz
65,44549,39245.67,2023-09-27,2025-09-16,Pagado,Hipotecario
66,50494,28017.62,2023-08-11,2027-07-21,Activo,Hipotecario
67,51376,1016.74,2022-05-15,2026-04-24,Pagado,Automotriz
68,46323,11432.68,2022-11-10,2025-10-25,Activo,Estudiantil
69,49478,49115.94,2021-03-12,2024-02-25,Pagado,Automotriz
70,53218,14443.83,2022-01-16,2024-01-06,Moroso,Hipotecario
71,47138,42201.91,2025-02-17,2025-08-16,Activo,Personal
72,54370,27224.09,2022-09-02,2026-08-12,Activo,Personal
73,49013,7624.87,2021-12-23,2022-12-18,Pagado,Estudiantil
74,53336,30977.44,2024-07-09,2027-06-24,Moroso,Personal
75,51847,24309.06,2023-10-25,2024-04-22,Activo,Personal
76,52858,30426.26,2022-11-19,2024-11-08,Moroso,Automotriz
77,46960,43979.17,2025-04-29,2027-04-19,Activo,Personal
78,47956,11068.49,2022-06-16,2023-06-11,Pagado,Hipotecario
79,48551,15589.32,2023-05-07,2025-04-26,Pagado,Automotriz
80,52132,37359.64,2021-01-23,2025-01-02,Moroso,Estudiantil
81,46742,44918.76,2022-07-15,2025-06-29,Moroso,Personal
82,45660,46945.55,2020-11-10,2022-10-31,Pagado,Hipotecario
83,53930,28274.99,2023-04-10,2026-03-25,Activo,Hipotecario
84,52615,43459.49,2024-01-01,2025-12-21,Pagado,Personal
85,54106,21093.10,2022-11-12,2025-10-27,Activo,Hipotecario
86,50793,20912.17,2021-02-24,2023-02-14,Activo,Automotriz
87,46029,5089.43,2022-05-20,2025-05-04,Activo,Automotriz
88,42970,26508.68,2025-05-31,2027-05-21,Moroso,Estudiantil
89,54329,13457.90,2023-04-07,2023-10-04,Moroso,Hipotecario
90,53889,3668.60,2022-05-25,2023-05-20,Pagado,Estudiantil
91,45632,33577.36,2024-11-01,2028-10-11,Activo,Personal
92,43472,11412.90,2023-12-15,2024-12-09,Moroso,Automotriz
93,52994,46755.19,2024-06-28,2028-06-07,Moroso,Automotriz
94,46710,7825.99,2021-10-20,2023-10-10,Moroso,Automotriz
95,44108,39597.49,2022-11-03,2024-10-23,Moroso,Estudiantil
96,49217,3558.41,2021-10-10,2023-09-30,Activo,Personal
97,44214,1902.17,2022-09-08,2024-08-28,Moroso,Hipotecario
98,50989,5629.62,2025-05-13,2025-11-09,Pagado,Estudiantil
99,50796,46007.94,2025-03-04,2026-02-27,Moroso,Automotriz
100,51458,10089.10,2022-10-28,2023-04-26,Activo,Personal
101,43202,8199.39,2025-07-24,2026-07-19,Moroso,Estudiantil
102,45177,34090.49,2024-03-26,2027-03-11,Activo,Automotriz
103,45670,31552.48,2025-07-20,2026-01-16,Activo,Hipotecario
104,49521,24139.03,2023-12-26,2026-12-10,Activo,Personal
105,47283,49844.03,2023-09-01,2025-08-21,Pagado,Automotriz
106,54438,27561.06,2022-06-15,2026-05-25,Activo,Personal
107,52583,2834.00,2021-10-06,2022-10-01,Moroso,Estudiantil
108,53276,35397.85,2024-12-03,2028-11-12,Pagado,Hipotecario
109,47441,22394.62,2024-10-14,2028-09-23,Pagado,Hipotecario
110,43542,13403.43,2021-05-12,2025-04-21,Moroso,Estudiantil
111,45878,6368.39,2020-12-27,2021-06-25,Moroso,Personal
112,51649,41349.38,2021-07-09,2024-06-23,Moroso,Estudiantil
113,54422,31733.76,2021-11-20,2024-11-04,Activo,Personal
114,45053,28444.51,2021-12-13,2025-11-22,Activo,Estudiantil
115,52845,34509.66,2024-03-06,2027-02-19,Activo,Automotriz
