id,usuario_id,tipo_moneda,cantidad,valor_actual
1,49091,ADA,"8727,79588549","0,79"
2,44497,BTC,"1,13743509","56869,56"
3,49789,BTC,"0,47907122","50116,5"
4,49918,BNB,"8,19720447","471,77"
5,48010,XRP,"3503,14930334","0,84"
6,48271,ETH,"9,05408112","1731,91"
7,47997,USDT,"79009,28371744",1
8,47307,DOT,"266,05638356","21,43"
9,50400,SOL,"260,88295828","106,93"
10,48279,SOL,"6,37279119","180,73"
11,51820,XRP,"34245,01256086","1,39"
12,43607,DOT,"521,08839481","12,23"
13,54271,BTC,"2,54204061","59363,54"
14,54013,ETH,"9,13654547","3145,19"
15,47418,SOL,"168,52438478","90,41"
16,47287,DOT,"388,2679719","20,13"
17,43644,BNB,"29,3142255","449,48"
18,43854,BTC,"2,68845905","69926,58"
19,43634,BTC,"1,91643864","69753,79"
20,53778,BNB,"27,21306368","494,2"
21,45206,DOT,"379,21157455","13,15"
22,52476,USDT,"45639,46878154",1
23,45038,ADA,"95467,66490849","1,06"
24,46719,ETH,"6,17622873","2775,8"
25,46661,ETH,"0,82997221","3743,7"
26,54196,XRP,"3683,46479583","1,48"
27,52173,BTC,"2,95604599","47876,2"
28,46798,BTC,"2,25246974","50044,92"
29,52855,BTC,"1,9174199","69090,58"
30,49741,ETH,"7,17746136","3197,63"
31,54387,BNB,"37,20825909","447,43"
32,54386,BTC,"2,27421299","51616,26"
33,43415,USDT,"91373,07529",1
34,48009,XRP,"18430,72442064","1,21"
35,45679,ETH,"6,29654663","3505,69"
36,46348,XRP,"3112,16767513","0,53"
37,51258,BTC,"1,0486841","66132,32"
38,47340,DOT,"304,50197336","20,4"
39,50738,USDT,"52163,86126341",1
40,44145,USDT,"34363,65197798",1
41,54120,SOL,"112,52964739","122,63"
42,48311,ADA,"92982,29254875","0,59"
43,49574,ADA,"39823,03639212","1,43"
44,46687,BNB,"25,26149908","427,43"
45,52372,BNB,"13,41980745","269,28"
46,45969,SOL,"41,96208337","119,82"
47,51252,USDT,"78610,14462024",1
48,51717,XRP,"38849,95257922","0,74"
49,45660,DOT,"341,18121914","23,12"
50,48449,USDT,"60978,9911432",1
51,48516,DOT,"344,05116578","15,86"
52,48652,BTC,"1,08200107","53822,84"
53,50412,XRP,"15782,17617713","0,67"
54,42730,SOL,"405,74907446","54,64"
55,53578,XRP,"48861,74985086","0,41"
56,47526,XRP,"25028,73513588","1,71"
57,51046,XRP,"18432,17436476","1,87"
58,52909,ADA,"50287,92971985","1,03"
59,43742,XRP,"2589,67984447","0,96"
60,50453,DOT,"573,95679173","24,19"
61,48476,BNB,"32,3453235","279,77"
62,53141,SOL,"124,28181321","144,28"
63,47203,ADA,"33724,46015243","0,36"
64,43721,BTC,"1,28441714","54893,75"
65,46435,DOT,"535,57057754","13,35"
66,47036,USDT,"32590,84394506",1
67,43834,BTC,"1,39027262","66987,48"
68,49853,ADA,"70577,83004034","1,38"
69,54184,SOL,"364,94917915","60,96"
70,46637,ADA,"28516,39352352","1,49"
71,53659,XRP,"2179,88378262","0,32"
72,45516,USDT,"19832,0985409",1
73,47219,BNB,"15,14461267","459,7"
74,43751,BNB,"14,12952699","227,65"
75,45868,ADA,"80739,3815892","0,92"
76,52675,XRP,"20326,58375003","1,65"
77,43998,BTC,"1,71006592","62850,89"
78,44709,SOL,"77,00848661","44,22"
79,43940,BNB,"48,62015508","273,34"
80,47400,ETH,"4,03710328","1564,66"
81,46981,SOL,"273,5091228","27,53"
82,49272,XRP,"34944,27907725","1,88"
83,44705,ETH,"2,82619723","3107,57"
84,53774,BNB,"25,77960411","424,6"
85,48106,DOT,"225,70904355","7,89"
86,44419,XRP,"19539,76752034","0,62"
87,49563,DOT,"868,57200911","9,31"
88,48091,ETH,"1,26066201","2650,26"
89,50568,BTC,"1,33514934","50590,18"
90,53676,BNB,"19,53540585","214,17"
91,44524,ETH,"5,92863893","2312,16"
92,48914,BNB,"47,96169509","253,94"
93,42728,DOT,"141,43189983","21,98"
